"","Super class","Foldchange (young vs aged)","P value"
"5-Bromoisoquinoline","",0.196,0.00119
"2,3-Dimethylbenzofuran","Organoheterocyclic compounds",0,0.00135
"Methionine sulfoxide","Organic acids and derivatives",0.167,0.00136
"DGTS(13:0/22:5)","",0.291,0.00137
"7,8-Dehydroastaxanthianthin","Lipids and lipid-like molecules",0.5,0.00161
"Hypoxanthine","Organoheterocyclic compounds",0.647,0.00176
"Prostaglandin F3a","Lipids and lipid-like molecules",0.616,0.00178
"POV-PC","",0.548,0.00179
"L-Allothreonine","Organic acids and derivatives",0.129,0.00198
"LysoPC(15:0)","Lipids and lipid-like molecules",0.514,0.00291
"PI(22:5(4Z,7Z,10Z,13Z,16Z)/18:0)","Lipids and lipid-like molecules",0.108,0.00375
"[2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]methyl 2-hydroxy-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybenzoate","",0.621,0.00397
"N-Nitrosomethylethylamine","",0.394,0.00528
"6-(1H-indol-3-ylmethyl)-9-methyl-3,15-di(propan-2-yl)-1,4,7,10,13,16-hexazabicyclo[16.3.0]henicosane-2,5,8,11,14,17-hexone","",0.458,0.00578
"Ile Lys Asn Lys","Organic acids and derivatives",0.202,0.00605
"(2E,4E,14E)-13-hydroperoxy-N-(2-methylpropyl)icosa-2,4,14-trienamide","",0.165,0.00607
"[3,4,5-trihydroxy-6-[5-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-4-oxochromen-7-yl]oxyoxan-2-yl]methyl (E)-but-2-enoate","",0.595,0.00687
"PE(P-16:0/0:0)","Lipids and lipid-like molecules",0.236,0.00694
"2-[3-(4-hydroxyphenyl)prop-2-enoyloxy]ethyl-trimethylazanium","",0.651,0.00739
"OxPI(18:0/20:3+2O(1Cyc))","",0.526,0.00762
"LPC(22:4)","Lipids and lipid-like molecules",0.618,0.00866
"4,5-dimethyl-2-[1-[5,9,16-trihydroxy-10,14-dimethyl-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-oxapentacyclo[9.7.0.02,4.05,10.014,18]octadecan-15-yl]ethyl]-2,3-dihydropyran-6-one","",0.496,0.00922
"Threoninyl-Isoleucine","Organic acids and derivatives",0.177,0.00936
"TAG(12:2/12:2/13:0)","Lipids and lipid-like molecules",0.461,0.00962
"PC(16:2e/4:0)","Lipids and lipid-like molecules",0.602,0.00982
